cluster,attack,defense,magic,difficulty,Fighter,Mage,Assassin,Marksman,Tank,Support,hp,hpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
137,4.666190980700231,2.1390754057164005,5.7957817420738555,3.135895070515309,0.09223049125765936,0.7721030009613095,0.09223049125765936,0.08206417355782643,0.13566650778103115,0.8257053351845143,552.4583244685582,82.2623884789498,331.1154456977489,27.78138034018875,4.338642077338838,27.726626367025162,1.3617560440369292,390.6526977154139,5.798620696830577,0.5756563633111839,0.0,0.0,52.60738053397793,2.970227144274564,1.4404328681834486,0.643893239680356
138,2.148271222896935,2.3732058704354233,3.7594746400696355,2.6853390286211685,0.0,1.0,0.0,0.0,0.0,1.0,577.9643648748553,90.44986929507698,330.7803328954643,26.468199737278617,4.622767437734826,30.0,1.3,538.4266951431059,6.153432807591447,0.5921966710453563,0.0,0.0,49.48126263647741,2.8632061672567426,2.1904509199044924,0.6483342815508983
139,4.538130654970017,3.0247759201576505,4.151574386031827,4.911152077638633,0.37882207106986204,0.3768885216027801,0.37882207106986204,0.0,0.24428940732735788,0.621177928930138,609.6907857097451,101.36951454664887,335.78687517216537,31.896043904816388,4.48960439048164,30.26906532748501,1.7062612569660753,306.81430508761895,6.746222956794439,0.6612657067785477,0.0,0.0,59.5497319517725,3.3405531540694593,2.4202798084461676,0.6559551310575721
140,5.736423962945164,4.106581732293126,5.829470046318544,5.612415005981533,0.4341059907362911,0.5658940092637089,0.1957362399157473,0.0,0.23836975082054376,0.5658940092637089,603.6296765881739,99.03485035940328,342.17052995368147,31.80037218433349,4.527711168597458,30.868211981472584,1.6255794930522183,391.5707917096962,6.487396856882854,0.5868211981472582,0.0,0.0,58.515477346857395,3.250194169793765,2.615539207165571,0.6665466017729881
141,5.6936759168874636,5.058802816901409,4.7754915632408315,6.185856226467718,0.33552851764049646,0.4625819272068052,0.33552851764049646,0.20188955515269838,0.0,0.6644714823595036,614.8011923023289,103.34869962348347,338.649299260912,25.110626133035836,4.482072932645377,30.671057035280995,1.5516463882303724,434.2712836424488,6.796679333426301,0.6674349811741738,0.0,0.0,59.96095384186306,3.18665946172082,2.4422005996374287,0.662026342211686
142,1.4199804886880028,8.983116121055028,5.991427056230959,4.960425924061051,0.012404920222076904,0.9035142435738124,0.004186041946489875,0.002872886796490477,0.8677576755743928,0.11181805858482334,630.34303974915,122.50748069290498,338.86318532306785,25.144150416244763,4.677184210616921,31.597296202158798,1.993377983536012,183.8260993235878,7.771453763269368,0.7633678698945308,0.0,0.0,58.516635385424834,3.462007036968079,1.6810379729108316,0.6281952408769041
143,3.460876956502834,5.75608007933313,7.539123043497166,6.8879742139273405,0.0,0.6487839841333739,0.6487839841333739,0.0,0.3512160158666261,0.3512160158666261,629.2605902575663,118.03732696723301,336.4878398413337,33.24718946675962,4.876199219292426,31.407228908902958,2.0039100601310342,261.1741401486514,8.379813673743904,0.7787042582646859,0.0,0.0,59.572902742575494,3.026303575461152,2.6762346008025886,0.6418286917747983
144,1.8959409442623847,5.825359007163039,7.887153050962256,5.991212106699871,0.0,1.0,0.6957734988061601,0.0,0.3042265011938399,0.0,609.2396419848529,120.49107271135072,340.0,25.744246307306025,4.9239852360655965,31.504393946650065,2.0881329660593706,254.1253968063927,8.324068958793708,0.7828462905443774,0.0,0.0,58.90472883756251,2.953870829256946,2.6065735169361073,0.6421369093228978
145,4.077040822932894,7.928600822823798,6.912329031928314,4.990548243419405,0.0012088673044755684,0.9800564397212941,0.0027455741659801088,0.01719798611272587,0.9800564397212941,0.0,649.5313030495024,99.11788998922458,344.871534656351,33.95511222407644,4.206266942897299,31.993312140347612,2.0474920526303553,130.6378304273157,9.454037073129008,0.5528085533718474,0.0,0.0,63.041535324152036,3.404898419287341,1.9189509143263415,0.6230925279281591
146,4.125301871098903,6.076105839726836,6.77150678392567,4.038981889287628,0.05982905919500371,0.9193237708976212,0.021311654619480445,0.0,0.9786883453805195,0.02084716990737517,612.4634403483983,91.4992068657652,344.4664866649673,29.42179035672151,4.257292867284183,32.0,2.05,127.86197125983045,5.144930061657396,0.7942992817159444,0.0,0.0,61.13029114621295,3.016909978281953,2.2491059072521944,0.6297484132408888
